Class;Name;Comments;M or O;D or A;Class;Dims;Size or content;Min;Max;Accessory Class
ONDE_2DCAD;ONDE_2DCAD:EXTRUSION_TYPE;;M;A;H5T_STRING;1;"PLANE"|"CYLINDER";;;
ONDE_2DCAD;ONDE_2DCAD:EXTRUSION_DIMENSION;;M;A;H5T_FLOAT;1;;;;
ONDE_2DCAD;ONDE_2DCAD:CAD;Contains the 2D CAD file representation of the component. The recommended format is DXF with a CONTENT_TYPE of "image/vnd.dxf". Applications should warn or otherwise get consent from the end-user before embedding a non-recommended format. ;M;A;H5T_STD_REF_OBJ<ONDE_BINARYFILE>;1;;;;
ONDE_3DCAD;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[2];["ONDE_COMPONENT", "ONDE_3DCAD"];;;
ONDE_3DCAD;ONDE_3DCAD:CAD;Contains a 3D CAD file representation of the component. The recommended formats are:  * STEP with a CONTENT_TYPE of "model/step", "model/step+xml", "model/step+zip", or "model/step-xml+zip". Exactly which of the preceding CONTENT_TYPEs is specified should not be treated as significant. The step file should contain application protocols AP203, AP214, or AP242.  * IGES with a CONTENT_TYPE of "application/iges"  * STL with a CONTENT_TYPE of "model/stl", "model/x.stl-ascii", "model/x.stl-binary". Exactly which of the preceding CONTENT_TYPEs is specified should not be treated as significant. Applications should warn or otherwise get consent from the end-user before embedding a non-recommended format. ;M;A;H5T_STD_REF_OBJ<ONDE_BINARYFILE>;1;;;;
ONDE_WELD;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[2];["ONDE_COMPONENT", "ONDE_WELD"];;;
ONDE_WELD;ONDE_WELD:EXTRUSION_TYPE;;M;A;H5T_STRING;1;"PLANE"|"CYLINDER";;;
ONDE_WELD;ONDE_WELD:EXTRUSION_DIMENSION;;M;A;H5T_FLOAT;1;;;;
ONDE_WELD;ONDE_WELD:WELD_TYPE;;M;A;H5T_STRING;1;"V"|"U";;;
ONDE_WELD;ONDE_WELD:WELD_SYMMETRY;;M;A;H5T_STRING;1;"SYMMETRIC"|"STRAIGHT_LEFT"|"STRAIGHT_RIGHT";;;
ONDE_WELD;ONDE_WELD:WELD_UPPER_CAP_WIDTH;;M;A;H5T_FLOAT;1;;;;
ONDE_WELD;ONDE_WELD:WELD_UPPER_CAP_HEIGHT;;M;A;H5T_FLOAT;1;;;;
ONDE_WELD;ONDE_WELD:WELD_FILL_ANGLE;;M;A;H5T_FLOAT;1;;;;
ONDE_WELD;ONDE_WELD:WELD_FILL_HEIGHT;;M;A;H5T_FLOAT;1;;;;
ONDE_WELD;ONDE_WELD:WELD_HOT_PASS_ANGLE;;M;A;H5T_FLOAT;1;;;;
ONDE_WELD;ONDE_WELD:WELD_HOT_PASS_HEIGHT;;M;A;H5T_FLOAT;1;;;;
ONDE_WELD;ONDE_WELD:WELD_LAND_OFFSET;;M;A;H5T_FLOAT;1;;;;
ONDE_WELD;ONDE_WELD:WELD_LAND_HEIGHT;;M;A;H5T_FLOAT;1;;;;
ONDE_WELD;ONDE_WELD:WELD_ROOT_ANGLE;;M;A;H5T_FLOAT;1;;;;
ONDE_WELD;ONDE_WELD:WELD_ROOT_HEIGHT;;M;A;H5T_FLOAT;1;;;;
ONDE_WELD;ONDE_WELD:WELD_LOWER_CAP_HEIGHT;;M;A;H5T_FLOAT;1;;;;
ONDE_WELD;ONDE_WELD:WELD_LOWER_CAP_WIDTH;;M;A;H5T_FLOAT;1;;;;
ONDE_WELD;ONDE_WELD:WELD_HAZ_WIDTH;;O;A;H5T_FLOAT;1;;;;
ONDE_PROBE;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[1];["ONDE_PROBE"];;;
ONDE_PROBE;ONDE:LABEL;;O;A;H5T_STRING;1;;;;
ONDE_PROBE;ONDE_PROBE:MANUFACTURER;;O;A;H5T_STRING;1;;;;
ONDE_PROBE;ONDE_PROBE:SERIAL_NUMBER;;O;A;H5T_STRING;1;;;;
ONDE_UT_PROBE;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[2];["ONDE_PROBE", "ONDE_UT_PROBE"];;;
ONDE_UT_PROBE;ONDE:TYPE_TAGS;;M;A;H5T_STRING;[*];["ONDE_UT_ELEMENTS"];;;
ONDE_UT_PROBE;ONDE_UT_PROBE:FREQUENCY;;M;A;H5T_FLOAT;1;;;;
ONDE_UT_PROBE;ONDE_UT_PROBE:BANDWIDTH;;O;A;H5T_FLOAT;1;;;;
ONDE_UT_PROBE;ONDE_UT_PROBE:INDEX_POINT_FRAME;If absent, identity is assumed;O;D;H5T_FLOAT;[7];;;;
ONDE_UT_PROBE;ONDE_UT_PROBE:FOCUSING_SURFACE;Defines the shape of the surface on which the elements are arranged —if absent, FLAT is assumed;O;A;H5T_STRING;;"FLAT"|"CYLINDRICAL_INC"|"CYLINDRICAL_PERP"|"SPHERICAL"|"BIFOCAL"|"TRIFOCAL";;;
ONDE_UT_PROBE;ONDE_UT_PROBE:FOCUSING_SURFACE_PARAMETERS;Multi values: value in mm  - FLAT: no value - CYLINDRICAL_INC, CYLINDRICAL_PER: Surface radius - SPHERICAL: Surface radius - BIFOCAL: Surface radius in the incidence plane, surface radius in the plane   perpendicular to the incidence plane - TRIFOCAL: Surface radius in the incidence plane (bottom), Surface radius in   the incidence plane (top), surface radius in the plane perpendicular to the   incidence plane.;O;A;H5T_FLOAT;[3];;;;
ONDE_UT_PROBE;ONDE_UT_PROBE:COUPLING;Reference to the coupling system (wedge, immersion, direct);M;A;H5T_STD_REF_OBJ<ONDE_UT_COUPLING>;1;;;;
ONDE_UT_ELEMENTS;ONDE:TYPE;The `ONDE:TYPE` attribute dictates the semantic meaning of the HDF5 group. It contains a 1D array of strings that traces the class inheritance from the root class down to this specific class.;M;A;H5T_STRING;[1];["ONDE_UT_ELEMENTS"];;;
ONDE_UT_ELEMENTS;ONDE_UT_ELEMENTS:FRAME;Array defining the location of the elements of the probe;M;D;H5T_FLOAT;[N_Elem<p>,7];;;;
ONDE_UT_ELEMENTS;ONDE_UT_ELEMENTS:SHAPE;The shape of each element will be defined as one of the following: rectangle (ELE_GEOM_REC), part of a ring (ELE_GEOM_RING_PART), part of an elliptical ring (ELE_GEOM_ELLIPSE_PART),;M;D;H5T_INTEGER;[N_Elem<p>];;;;
ONDE_UT_ELEMENTS;ONDE_UT_ELEMENTS:SIZE;;M;D;H5T_FLOAT;[N_Elem<p>,6];;;;
ONDE_UT_ELEMENTS;ONDE_UT_ELEMENTS:RADIUS_OF_CURVATURE;If absent, flat elements are assumed;O;D;H5T_FLOAT;[N_Elem<p>];;;;
